_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name
PLUSbau - Baubetreuung GmbH,2300009,2018-06-22T05:28:15Z,D3304V_HRB3096,de/D3304V_HRB3096,currently registered,de,Würzburger Str.,Würzburger Str.,,,Fürth,HRB,Bavaria,3096,Fürth HRB 3096,Langenzenn,,,true,true,true,true,true,true,true,,,Manfred Beigel,person,Geschäftsführer,,2011-07-07,Manfred,Beigel,Wilhermsdorf,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konrad Henning,person,Geschäftsführer,2011-07-07,,Konrad,Henning,Wilhermsdorf,,sole representation,,,,
Schwemmer GmbH & Co. KG,2300033,2018-06-22T05:28:15Z,D3304V_HRA3096,de/D3304V_HRA3096,removed,de,Margaretenstr.,Margaretenstr.,,,Fürth,HRA,Bavaria,3096,Fürth HRA 3096,Nürnberg,,,false,true,false,true,false,true,true,,,Karlheinz Schwemmer,person,Persönlich haftender Gesellschafter,,2009-01-29,Karlheinz,Schwemmer,Nürnberg,true,,,Kaufmann,,Schwemmer KG.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schwemmer Verwaltungs GmbH, Nürnberg (AG Nürnberg HRB 23505), mit der Befugnis - auch für die jeweiligen Geschäftsführer -, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2009-01-29,,,,,,,,,,
WEMS GmbH,2300059,2018-06-22T05:28:15Z,M1602_HRB3096,de/M1602_HRB3096,currently registered,de,Vierbacher Str.,Vierbacher Str.,,,Eschwege,HRB,Hesse,3096,Eschwege HRB 3096,Meißner,,,true,true,true,false,true,true,true,,,Sören Nell,person,Geschäftsführer,2016-04-11,,Sören,Nell,Meißner,,sole representation,,,,
BRECO GmbH & Co. Grundstücksvermietung und Verpachtung KG,2300102,2018-06-22T05:29:32Z,R2108_HRA3097,de/R2108_HRA3097,currently registered,de,Kleiststr.,Kleiststr.,,,Bad Oeynhausen,HRA,North Rhine-Westphalia,3097,Bad Oeynhausen HRA 3097,Porta Westfalica,,,true,true,true,true,true,true,true,,,"Beteiligungsgesellschaft BRECO mit beschränkter Haftung, Porta Westfalica (AG Bad Oeynhausen HRB 5215).",company,Persönlich haftender Gesellschafter,,2009-07-02,,,,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antje Schmidt,person,Persönlich haftender Gesellschafter,2007-05-14,,Antje,Schmidt,Bad Salzuflen,,von der Vertretung ausgeschlossen,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BRECO Holding GmbH, Porta Westfalica (Bad Oeynhausen HRB 11460), einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2009-07-02,,,,,,,,,,
DREWES Electronic´s Elektronik- und Elektro- Service GmbH,2300121,2018-06-22T05:29:32Z,N1105V_HRB3097,de/N1105V_HRB3097,currently registered,de,Baumannstr.,Baumannstr.,,,Neubrandenburg,HRB,Mecklenburg-Western Pomerania,3097,Neubrandenburg HRB 3097,Demmin,,,true,true,true,true,true,true,true,,,Siegfried Drewes,person,Geschäftsführer,,2011-04-19,Siegfried,Drewes,Demmin,true,,,,,DREWES Electronic s Elektronik- und Elektro- Service GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drewes Siegfried,person,Geschäftsführer,2008-12-23,,Drewes,Siegfried,Demmin,,sole representation,,,,
