_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
Schlosserei Grawe GmbH,2500030,2018-06-23T03:51:12Z,N1209V_HRB4057,de/N1209V_HRB4057,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Stralsund,HRB,Mecklenburg-Western Pomerania,4057,Stralsund HRB 4057,Zarrendorf,,,true,true,true,true,true,true,true,,,Helmut Grawe,person,Geschäftsführer,,2018-02-26,Helmut,Grawe,Zarrendorf,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toni Grawe,person,Geschäftsführer,2018-02-26,,Toni,Grawe,Zarrendorf,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber GmbH,2500068,2018-06-23T03:51:12Z,D3304V_HRB4057,de/D3304V_HRB4057,removed,de,Burgfarrnbacher Str.,Burgfarrnbacher Str.,,,Fürth,HRB,Bavaria,4057,Fürth HRB 4057,Zirndorf,,,false,true,true,true,false,true,true,,,Monika geborene Weber : Kohout,person,Liquidator,2007-07-12,,Monika geborene Weber,: Kohout,Zirndorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. J. Gardner Homes Germany GmbH,2500135,2018-06-23T03:52:31Z,D4501V_HRB4058,de/D4501V_HRB4058,removed,de,Kirchenlamitzer Str.,Kirchenlamitzer Str.,,,Hof,HRB,Bavaria,4058,Hof HRB 4058,Weißenstadt,,,false,true,true,false,false,true,true,,,Andreas Beyer,person,Geschäftsführer,,2007-02-27,Andreas,Beyer,Hof,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan : Ackermann,person,Liquidator,2010-02-08,,Stefan,: Ackermann,Wohlen (Schweiz),,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Ackermann,person,Geschäftsführer,2006-05-04,,Stefan,Ackermann,Weißenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reiling GmbH & Co. KG,2500213,2018-06-23T03:52:31Z,R2103_HRA4058,de/R2103_HRA4058,currently registered,de,Bussemasstr.,Bussemasstr.,,,Gütersloh,HRA,North Rhine-Westphalia,4058,Gütersloh HRA 4058,Harsewinkel,,,true,true,true,true,true,true,true,,,"Reiling Verwaltungs GmbH, Harsewinkel (Amtsgericht Gütersloh HRB 3572).",company,Persönlich haftender Gesellschafter,2012-01-17,,,,,,,,,,Bernhard Reiling Glas-Recycling GmbH & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernhard Reiling GmbH & Co. Grundstücksverwaltungs KG.,,,,,,,,,,,,,,,,,,,,,,,,
besser wohnen Sonneborn GmbH,2500278,2018-06-23T03:53:55Z,R2604_HRB4059,de/R2604_HRB4059,removed,de,Herscheider Landstr.,Herscheider Landstr.,,,Iserlohn,HRB,North Rhine-Westphalia,4059,Iserlohn HRB 4059,Lüdenscheid,,,false,true,true,true,false,true,true,,,Bernd Hollweg,person,Geschäftsführer,,2004-12-28,Bernd,Hollweg,Lüdenscheid,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Hollweg,person,Geschäftsführer,,2015-07-31,Thomas,Hollweg,Lüdenscheid,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
